BlockHash,TPS,GasUsed
bf1ae4cfe6931a3d0eb45a70b8f522fe602d0e4e8eee767d784183d1ed89dcd8,2100000,49.90
432b49158661e34d100801f84c43a4e31e30e526564d28417c72ce7f3da3a09b,2100000,49.90
7edea9ddb0ba8a83745fb799fba49d282754f25a4f34f21d8f87b93f9e1d8aca,2100000,50.00
8bb2d6985c4b5deb9601ca60e2afb2c7df1a57f21f425ea2ce520312a284b00a,2121000,49.90
81315f95b74fa6e72cb3e251366ad565451dd9355ff53b02c86ed1ca414879f0,2100000,49.90
15d4a7bd7e3197d6ef16a6892f585feaa3b58ac0d9138d567296495ca630899e,2100000,50.10
8a0ba61864819630d6d310c031d38f874390774195e263e650bc871683463fb7,2100000,50.10
0dc69c38e1f8b356807f803538bc411cd57dded47ee11f7112b9d90dd4c19bfa,2079000,50.10
3bef1902b7aca379b62faee530cf16fb842c32ed943b33d644ba9d556d44fd13,2079000,50.10
4e1bc4c29858bffcb89ca9a26c42a6a41e7e5c609f006572574e7f9a6eca73d6,2100000,50.00
b8bee06f4f3d4f37c4ac5fc64c6f9ec75653a7e1a7a9fac1a513e9ed16a8239c,2079000,49.80
ae77cc00f5e87d735f427dc63c422a6bccfd526204850c179a5e47899e592620,2100000,49.80
f863c956e3cb38edb37fd1eb4aaa56d6f571bd938fa257f45cd143b2a9fc01e9,2100000,49.70
aef26c7da1cd3ae03bf5cf91a4cd953b91e604da3e1387f5e78383bbc6e9b19f,2121000,49.70
57473caa57017bf0a7f95de7bf17d2e3db7e36179aed8662ff168f7b133e6a6b,2100000,49.80
6fdaaf275f6efaaccec275f409bdf559200ad37722d2d0e92aa4818d78f69e97,2121000,50.00
65a4279a03091df4d59c4cfe1d874f2965cf9bd9ae7a87a2bca0d04d056b6215,2100000,50.00
bc27c325baf7e5c04c7c550632146601ba80ec50f51659e26072e6257e7d15a8,2121000,50.20
4fdbda5b5be4540892e15edc2ae65d07504382d7e167732218f796c2a65a886a,2100000,50.20
785b489e7688878fc9abd8ccf7560caeab0583a7aca6134705577e6a9d83d1ad,2100000,50.30
8bbda0e1f6c0855b726e581a8c51e32f23e983cb45d3ffa70e3ad55a1d1f7bdd,2121000,50.20
7393584fc7561dcab3538bbe80aee938bd95d9f24ad14934148ef28905c992c5,2121000,50.20
40a24c805e18819f121a9d3e63e37bc4d4750015cde67d50be2cbc8d78cb3690,2100000,50.20
ea98f116bf8b32f1c7437668e03cd5d015860bd314314f593ee8215e36093c18,2121000,50.30
364495bc3c847ce7b1ac4e323fd47c71915af06c958159a745d244b6e4a5c5a2,2100000,50.20
0a2e226f8c2646e092ac157d3bde29a6957cf3a47905cffc33b638397747c0e0,2100000,50.30
179793c02079c83dd1be6f8c957dc494fd41e0bcf657042b9dfca0cc33a424d3,2100000,50.30
ea2ce665220aac9a178188d6842a8e451e913b815b6c1af54f4498a1f5677422,2100000,50.20
4db915be8d01b19d8c08036f2fb29b292b09fe1d43f140cf3c55e9600d04a9e4,2079000,50.10
a7a69220c227b0f34499540e2fd5c28d875ff9d4312caa0ab0b5bab53bf36856,2100000,50.10
e45c8cfe4e8997bad33cebfc0ac8de4ac4c03d8ea2b1093d0863b7439f629de9,2079000,49.90
5e0f6dd1bd8af323c401e63c07101d68d8808c958d269f965ba3f849eca6bb7c,2100000,49.90
8c024b4499bbb29da01efacbcc8b614deb04ce7843f295e4d69ddf406819b78f,2100000,49.80
2c049b305d32ef0a4e453afa2758203c15b4c4c3aa8ce75071bd14be91d32e1b,2100000,49.80
ca240ff8392d4bcf7bc75cdcde6d736052a7c46157367afb00ef3dec9c63a54b,2100000,49.80
ff6ff8b6f9581cb3efc510c64788dbedaac1e7d2913038752c1b54d42e8beaba,2100000,49.90
7e0f649da67133abc100f77bbdddbd3b215d91aa2d294c322cb0e865a1bf7843,2079000,49.90
67f2f7ce9819fd57f4b722836924d784117ae665c031f4c5ed2b706193add509,2100000,50.00
744e9b88d44cd38f4e2b0de349f97ae69165cfb75b6a6b29fb7b31c7c7603ef3,2100000,49.90
361c9fe9b2c5c0968684d3f9ad98c9eacf6a098453e70e36eb08ef39645391a8,2121000,49.90
19fe330fbf8ef9ae8585dee030218450e6c483edd5c3cffd4b1117abf56d8f1c,2079000,49.90
9b21618b1f04d38187a00bc4c6247a4cfe4d7d1d17d221c8d48a3d4c8658dc1d,2100000,50.00
495c2f615a3a97fff5bf99dfc0602089fd8f16ecacd577a770ffab3fbfd38b7a,2079000,49.90
caf60701638bf3fe0870d0e12aa483bb2f30a6716a0e8eb8695075819f144662,2079000,50.00
755bfd08678133b80cdaf9f99c9150870123a6b384c79a63d9411c83fdbc339e,2079000,49.90
a0d04ba34de57ab479e869193b2a8b2e62cf85fcb816d5f4f9bbcf3c178c8aad,2100000,49.80
8b1de9d17abdd34313362b3107ce689163cce71a0a86c10642d80e0ebfb9415c,2079000,49.60
26a496350df9a899e133b9a60f35f1a599aaf315117456ac4c2048872e67980d,2121000,49.70
8eb36dae6dfac41061cfa33b8310d3a1a5b7ff63f813cec0c0fa526ecc7377ad,2121000,49.60
abddba6d98b67c96592c232b11c43a0122e2d2f09210b383bc0eda24d3b087bc,2121000,49.80
8a2fb4707e29bc353d99ad199bff3243f289ccdc7c1143b8015d1e9127e6afbd,2100000,50.00
289fcc48b8048f2efd7d5f788129b7118ce321e3ca31119a66adfbc9dd483034,2121000,50.20
baa404abf62c2feeb7b38e4faadde31400d564a331ba9bf76e282be33973f7df,2121000,50.20
2ac475a61d1588d0378598a37352d350dfc218e11870f6cb93efd8bb2f6f34b0,2121000,50.40
f81ae190d8ef6239637abeebfc4e9f632c5a72eb3490d1007a81bd882b80921e,2121000,50.40
01451c47bc180e399ad84b84b6dd15e11af8d3c6e6a6c3c37638f7986161bb19,2100000,50.40
7a1e8ce7e23384147406a90290455d1186fd3d212e4eb9df09d0d666745c1902,2100000,50.40
07b6ba798f29f16eaaf82737626da736572e4c2ea1803e01a30fbf1a6bfa8317,2121000,50.40
112061e79d15af85ef7d954b856ca281122d3831e3253ca80a2ad41cda1e6268,2100000,50.30
2c71b427d9da39873c115ef77fdbec010a5c88093081572aab358292c6e8a3b9,2100000,50.30
6d6a745a1550206b6e86dbad008659ab0c9a6c2abce327a2b225fb94cf688b5b,2079000,50.20
1cfb5ab193f4bd12ec9a7122ae15117cd6b53e87fde2195338607d45add08f2b,2079000,50.10
24212866330628ae0c1f8d53826a82e08ba4bc12519a2c8ba7da290d2a9462da,2079000,50.00
72391ef44372fa2cc6b628e125e934f2844146f9e388f9b7643928f278aa5af6,2100000,49.90
382315adc697bc0d931daf2501c303476a046f4afd232601ac4b5fced9b3ed0e,2100000,49.70
b518bd1fb63586adb26764ce670c1eea2c033f42965c5f4f95f97bc7a024737f,2100000,49.70
0af8f4610922b6fc4220a90675e5533130bd062e96a30df886e80099c9dc5696,2100000,49.70
4210da46f635919f3d8022e54837fd1a311ce23c67a30b678e6e5e58ff1aeac2,2100000,49.80
1cdef38f0701fa78bffe68b666d9204ba6416a42e7736aefdbe17aaea901b9ad,2079000,49.90
bbec041dfbaee48c53b6c2c94d01c706a9257e251ba4c1f08ff88cf1b73a445b,2100000,50.00
0fbb4b9e2f6700d943c06bf964265ba8351e99c372321dcf84363999b2ea6610,2121000,49.90
216cdb35d1c3a5ef2bca017cdc6ce864d322dead035592785c2ae4eef4a77fee,2100000,49.90
52ea711777d29238ffa161d875aac51458d069aa2c29bb8eede76d02c9341eb6,2121000,50.00
4585a7c54386dd811f1cce0f22117a03fa6b0eadcb37a762a42c9b1e77390b74,2121000,50.00
67051030e0766d3b83eb9ddec676039d80386c365feec3d0f2b56135e7a1d2c6,2121000,50.10
dcdc68d0083f6b8ce93fdf7750790a15a841c15e33282a59ce868def08cabc33,2100000,50.30
26bfe30c7d2e32149b9a4777b6647f882bf067f8960bbd89ddf13f61076d40a3,2100000,50.40
5496f7cb44121c792c54121b6cc124f3ba0cedbca311c09c6b56fb09132391fe,2079000,50.30
25f7f8b2a88f2e4e669a258455e5ae8dd7fdcb64de8d7d47649749c3cbbde29d,2079000,50.30
9d9d158156a3a80620259dd848eb555fa241f694e32b7fe7c0aed0818dc6fbbc,2100000,50.10
72bd30fb3abc3be87d569b20d73ccbe9b74a1d074337357017f76e34c0d4460f,2100000,49.90
c7f2d4eedcdceff169b2f3d7160e7d1da747bab72bd145475ad16d1f116e0fe7,2100000,49.80
2c49f7c8454440e3111ae34a99419b4e388274edfebc097923b5332f7d62abbf,2100000,49.80
8961f61480c032d6af3055c77ab334894d2d931d07736881da3bbde1ddfc7afe,2079000,49.80
51bd35756829277399b010188c819927d2534099e2ee3c1f56221c8668847e79,2100000,49.90
145d75e348e8ec254d5a17d509877af709ad8abc2736201690a2f87f4f5263f8,2100000,49.90
4422215bd27427fe855cf55e10f8e36323cead7b0e2b37dfa9c8600cbe768a0f,2100000,49.90
a9c145d2838d1a00286b03c500100697046f5f753f7e3f77b9ca87599bc4cda1,2079000,49.90
e5a2dd00cd1d9a81d430106346a631c855fc8c0ea4def587f411f21a9079e8e3,2100000,49.90
a22c58c34ff9c4487eff38edde42d42685a11120a37b4990b4a9765b9236b5f2,2121000,49.80
e62fd99a5339beee2a2def219dafbc0d55f37a66d7562dd90a020754b6cb0305,2121000,49.90
