BlockHash,TPS,GasUsed
bdfbac3f21a6fda2294b952bce2e4bf30263b82a5c88baf1aa289613ccc07908,2142000,100.10
fd5e9770b3de412f22736da8a65639d7fa90a4cb22346b4c54b66295ee09ed54,2037000,99.80
2653abe5b4984a4d8791b4595109393eb44c246d4e51ecbb8ba13afc6188a174,2100000,99.80
51c8aaa3f3d402383cd1badc54145a28519aebafd5350be280afafe634552ad3,2121000,100.50
fc34b402a795c2302b5e56df56cadd638692c22c58ea9c5ed1b5435360a600dd,2142000,100.50
fc6598a493c9d76ec7e1d5af36e734a5dd4d2345f6aa75ee894c7e43bf9ae8d9,2121000,100.40
d13e2a4a8c005a5db8888437b6d8b32fbff991d387422bd9c6bc7e06e0925a33,2100000,100.40
dd92263c9ae096aecd12ddd4f347af4bb7625875f00d7903a7e6f6a9c6dbe7b3,2121000,100.50
60d7321d433014f303ec0c6b4c2df7fb2f7429f596e03f415fa1755e5b8a92cf,2100000,100.50
7c96e304fcd9ccec3fcb80087f061cd16a0c027acff078c3c7891f16d2797135,2121000,100.50
d788b1e5e1f25740ec03f68f6863c416e6b1999be84ba1575dd702d680681e80,2142000,100.50
b9b6a1878291fcb157f2e786a47c51741d3527db651497f45d0c74e06b087a96,2121000,100.50
b27b610b6de971a9ba514c1bb05cd7aab900ac45addfc02ba92ef0f4452e2a7a,2100000,100.50
ef926c645f790804555735d87f7aa101409fa91be7c7d1c732f1e4f4858e8c09,2121000,100.90
144c2d35b04e2a925418a1978962dc44a05afe91a7903479f2247840d117b2d5,2121000,100.90
9e9340774870f9e4048c1afe3f0ec9cadd132ba4ac7424465c952deaf356d4d1,2121000,100.90
88759278b5d43bb6f1c7ebbdb0b0c0ebbea6381ec6dee075646561d9269b0a33,2121000,100.90
e4c0edb1109c56626ce022a6b340c1b7ba7e410f7ea37558ea06e5f901cc8d02,2121000,100.80
b969068e0931c95cbcc4f73220e8c2034ca775b52f637caa1225e7b5bd407a51,2058000,100.80
d771412305371ecf34b1b946a1358f9196fd44837702bfa7137ccae43253b7f8,2121000,100.90
e9f90fbafb40dc3fa8f4d9f40d8dc2db41d826560b6510e6799ebc24c98a01d9,2100000,100.90
f29ba6ecd2d625e9df78715d591d6d4a3b5ca955952292da1840066dc9d53cc0,2100000,100.70
1d98f9a932335ea3666965e4ab2e97b9c886dc6178384f21c2284d57120d7f83,1869000,100.70
88d096000286778f0a6592aeebf205374f107589391d5c58e025be0c5975f797,2121000,100.40
0b00d2bebafff5ae3936b3e32d7961b8aed6648cd86b4efb2a5c7197ef392d55,2121000,100.40
858d0d5797760e07158b616597f0acdf41d000e9d83deace4bb431714ec90ce1,2121000,99.30
d2aaec78fcbe4c8fd16ebb28e23c8b4efdee0080242459bbe4cef2a9eefe60d7,2142000,99.30
1bb7952045745c49f8f291f555c70b1f3d6e86d11a6ec45870c4bfa7a2b544aa,1722000,99.30
1a2d324a3949581f6fe4a7d952342c510109a02184fe0f13c22cbd0103b33a8f,2163000,99.30
62c956dc8becafaa104042550cfbb509983629799dae3a37f14ac519672285be,2142000,97.50
6a3801c016aa74c29684b06349fb3afab6e27060c86f72a06932783c9de2e574,2079000,97.50
c1284ebdec93124e64d89b40d0364fc71e9d41172605d031638ea4e842fd31e9,2121000,98.10
5935f0390b7fe53f14a1bf124321940332ac57f5d3530fdecc8975a2447d9113,2121000,98.10
fb85765198026bc3a6b9cf171239f8b6bfa20f27c6456120a578e70c7f2a39a6,2037000,98.10
aeee152a2a3dcd51a493d9f7e7e8d10fb4c7fa3d1c6aa499ad3681ebacfda076,2121000,98.10
28d1dca2dbfd44cef69a4a4e728362dbfeb5697c56d07d36ecf0b671c22074b1,2100000,98.90
9b435b3476747243aec3a709e7d98a49bf5a6602afe57d884a893ae254ccf9bb,2121000,98.90
929244839202eba8c7feb3af305fa27fd48cf85330b0aa5b3baad284b95af1c4,2100000,98.80
